MPC Date,tone_GT_entire,tone_GT,flair_fast_scores,flair_scores,blob_scores,bing_scores,gi_scores,mpqa_scores,nrc_scores,lm_scores,compound_scores,afinn_scores
20090922,-15.09433962264151,-18.867924528301888,-0.30158730158730157,-0.3968253968253968,0.01416687536522247,-0.13333333333333333,-0.4230769230769231,-0.058823529411764705,0.15,-0.5510204081632653,0.05,6.0
20091022,-12.727272727272727,-12.727272727272727,-0.15151515151515152,-0.42424242424242425,0.027815656565656575,-0.037037037037037035,-0.4444444444444444,0.08823529411764706,0.24050632911392406,-0.42857142857142855,0.08,19.0
20091117,-4.545454545454546,-4.545454545454546,-0.2987012987012987,-0.24675324675324675,0.006258101060732642,-0.07246376811594203,-0.22666666666666666,-0.021739130434782608,0.0967741935483871,-0.3793103448275862,0.01,10.0
20100126,12.0,12.0,-0.21839080459770116,-0.47126436781609193,0.005922290618822411,-0.0851063829787234,-0.24390243902439024,-0.009009009009009009,0.17209302325581396,-0.25,0.05,4.0
20100325,1.2345679012345678,1.2345679012345678,-0.053763440860215055,-0.16129032258064516,0.038740060959448715,0.1919191919191919,-0.23711340206185566,0.1366906474820144,0.26640926640926643,-0.25,0.15,94.0
20100513,24.324324324324323,24.324324324324323,0.08235294117647059,-0.058823529411764705,0.04565748281849979,0.06521739130434782,-0.2413793103448276,0.1262135922330097,0.1111111111111111,-0.375,0.07,43.0
20100722,-9.63855421686747,-12.048192771084338,-0.2826086956521739,-0.17391304347826086,0.04634149129198635,-0.15151515151515152,-0.2619047619047619,0.016666666666666666,0.21818181818181817,-0.52,0.05,22.0
20100909,-15.662650602409638,-13.25301204819277,-0.30526315789473685,-0.28421052631578947,0.023674216533068212,-0.14285714285714285,-0.13513513513513514,0.03816793893129771,0.21991701244813278,-0.35802469135802467,0.06,17.0
20101118,-3.5714285714285716,-1.1904761904761905,-0.0707070707070707,-0.31313131313131315,0.03795771936396938,-0.008130081300813009,-0.25301204819277107,0.051094890510948905,0.26229508196721313,-0.4146341463414634,0.07,51.0
20110120,21.27659574468085,19.148936170212767,-0.24324324324324326,-0.26126126126126126,0.045570899688546725,0.03571428571428571,-0.21951219512195122,0.1891891891891892,0.3053435114503817,-0.13432835820895522,0.15,81.0
20110324,21.978021978021978,19.78021978021978,-0.13131313131313133,-0.37373737373737376,0.025462051113709885,-0.1836734693877551,-0.045454545454545456,0.11888111888111888,0.22321428571428573,-0.3924050632911392,0.07,29.0
